probability.loaded.face	trials.100	trials.200	trials.500	trials.1000
0.17	0.0513	0.0501	0.0534	0.0537
0.18	0.0545	0.0643	0.0812	0.1159
0.19	0.0675	0.089	0.1573	0.2867
0.2	0.0832	0.138	0.2907	0.5523
0.21	0.1188	0.2023	0.4722	0.7958
0.22	0.1651	0.2975	0.6634	0.9403
0.23	0.2111	0.3977	0.8256	0.9872
0.24	0.2825	0.5276	0.9188	0.9988
0.25	0.3523	0.6357	0.9665	0.9999
0.26	0.4307	0.7465	0.9911	1.0
0.27	0.5133	0.8252	0.9984	1.0
0.28	0.5898	0.8889	0.9995	1.0
0.29	0.6701	0.9361	0.9999	1.0
0.3	0.7402	0.968	1.0	1.0
0.31	0.8062	0.9836	1.0	1.0
0.32	0.8583	0.9904	1.0	1.0
0.33	0.8952	0.9958	1.0	1.0
0.34	0.9311	0.9983	1.0	1.0
0.35	0.949	0.9997	1.0	1.0
0.36	0.9679	0.9998	1.0	1.0
0.37	0.9782	0.9999	1.0	1.0
0.38	0.9883	1.0	1.0	1.0
0.39	0.9936	1.0	1.0	1.0
0.4	0.9949	0.9999	1.0	1.0
0.41	0.9985	1.0	1.0	1.0
0.42	0.9986	1.0	1.0	1.0
0.43	0.9994	1.0	1.0	1.0
0.44	0.9998	1.0	1.0	1.0
0.45	0.9999	1.0	1.0	1.0
0.46	0.9999	1.0	1.0	1.0
0.47	0.9999	1.0	1.0	1.0
0.48	1.0	1.0	1.0	1.0
0.49	1.0	1.0	1.0	1.0
